"Install_Dates","campaign_id","Country","1d_LTV","3d_LTV","7d_LTV","14d_LTV","30d_LTV","60d_LTV"
"2020-04-14","90570","CZ","7.721194000000001","8.10481071472168","10.20948","11.8452","15.349594","15.768420219421388"
"2020-03-30","90262","CA","1.4243629999999998","1.7247380018234253","1.724738","1.724738","1.724738","1.999413013458252"
"2020-04-02","19115","PL","26.91200642276423","32.943050384521484","66.78749684552847","70.07192184552846","71.64402284552845","72.05702590942383"
"2020-04-15","788948","MD","0","0","0","0","0","0"
"2020-03-26","158583","DE","0.349793","0.3497929871082306","0.349793","0.349793","0.349793","0.3497929871082306"
"2020-04-28","90619","AT","1.032342","1.0323419570922852","1.248888","1.501317","1.761729","-1"
"2020-05-10","794235","PK","0.2125","0.2546199858188629","0.390186","0.519535","0.652006","-1"
"2020-04-22","22083","JP","0","0","0","0","0","-1"
"2020-05-07","91872","FR","4.66139","4.787784099578857","6.422362","6.596973","6.596973","-1"
"2020-04-26","90133","BY","1.524119","1.814465045928955","2.537125","2.747181","3.420379","-1"
"2020-04-03","19115","JP","0.833442","0.833441972732544","1.103046","1.167516","1.398647","1.416651964187622"
"2020-05-13","794235","LT","0.115957","0.1333930045366287","0.147065","0.147065","0.156818","-1"
"2020-03-27","19115","UA","23.334977666666667","39.28006935119629","70.47219866666666","77.11250366666667","81.35198066666666","84.73397445678711"
"2020-04-23","159854","FR","1.056526","1.087654948234558","1.418683","1.743116","1.753185","-1"
"2020-05-14","19115","HK","0.000066","0.0000660000005155","0.000066","0.000066","0.000066","-1"
"2020-05-04","794235","LA","0.013638","0.0136380000039935","0.0160879999999999","0.0160879999999999","0.0160879999999999","-1"
"2020-05-05","794235","BD","0.105658","0.1056580021977424","0.10997","0.123146","0.175324","-1"
"2020-05-16","794235","SD","0","0","0","0.001063","0.001063","-1"
"2020-04-13","790424","RU","15.139952","18.05686736106873","24.705458","30.279938","35.928758","43.83915686607361"
"2020-04-24","161569","US","2.123665","2.336690902709961","4.015728","7.177724","9.207404","-1"
"2020-04-04","159253","DK","0.118543","0.1185429990291595","0.118543","0.118543","0.118543","0.1185429990291595"
"2020-05-15","792410","TR","0.389986","0.3993720114231109","0.55994","0.988754","1.034074","-1"
"2020-04-03","92536","IE","0","0","0","0","0","0"
"2020-04-29","22083","UNKNOWN","0","0","0","0","0","-1"
"2020-03-19","790034","RU","198.894687","224.6928024291992","304.094057","378.867356","447.738577","691.3598937988281"
"2020-03-24","788583","KR","28.480373545454544","34.6154088973999","38.47477754545455","40.86531054545455","42.75554754545455","45.33151340484619"
"2020-04-04","787170","CZ","10.473727","12.082889556884766","16.961392","20.879656","25.596784","27.45954322814941"
"2020-05-06","787733","FR","0.062519","0.0625189989805221","0.062519","0.062519","0.062519","-1"
